name,start,end,position,score,start_frame,end_frame,num_frames,target_distance,pdistance,pspeed,bspeed
serve,"00'22""","00'24""",bl,0,744,780,36,47.80167361,111.1620439,92.63503656,348.1354482
dig,"00'25""","00'26""",tr,0,780,830,50,484.0258258,408.7052728,245.2231637,699.3036912
dig,"00'27""","00'28""",tl,0,830,874,44,106.0047169,87.78382539,59.85260823,824.3972385
spike,"00'28""","00'29""",tr,0,882,903,21,341.2228011,37.01351105,52.87644435,1579.098202
block,"00'28""","00'29""",br,1,881,888,7,0,82.21921916,352.3680822,0
serve,"00'46""","00'47""",bl,0,1400,1432,32,31.95309062,86.092973,80.71216218,366.0089928
dig,"00'47""","00'48""",tr,0,1434,1483,49,267.8451045,288.646843,176.722557,567.142503
pass,"00'49""","00'50""",tl,0,1484,1526,42,81.34494453,42.01190308,30.00850221,542.8207182
spike,"00'50""","00'51""",tr,0,1528,1555,27,231.5253766,344.4706083,382.7451204,753.8354073
block,"00'50""","00'51""",br,1,1528,1536,8,0,116.8674463,438.2529234,753.8354073
serve,"01'08""","01'09""",bl,0,2093,2129,36,157.5436447,91.67878708,76.39898922,485.5099503
dig,"01'10""","01'11""",tr,0,2129,2169,40,309.0323608,290.2688409,217.7016307,592.8668535
pass,"01'12""","01'13""",tl,0,2174,2219,45,26.41968963,125.1598977,83.43993183,512.4964077
spike,"01'13""","01'14""",tr,1,2227,2245,18,460.4345773,234.1964987,390.3274977,1747.09604
block,"01'13""","01'14""",br,0,2219,2227,8,0,90.47651629,339.2869362,751.6839198
serve,"01'37""","01'38""",tr,0,2968,2988,20,119.9416525,42.42640687,63.63961032,799.3403022
dig,"01'39""","01'40""",bl,0,2988,3035,47,262.5280937,257.1633722,164.1468333,833.6946411
pass,"01'41""","01'42""",br,0,3042,3083,41,210.5350327,178.2722637,130.4431198,498.0369282
spike,"01'42""","01'43""",bl,1,3095,3120,25,328.8966403,12.36931688,14.84318025,277.575619
block,"01'42""","01'43""",tl,0,3085,3092,7,0,60.07495318,257.4640851,647.128665
serve,"02'02""","02'03""",br,0,3747,3775,28,16.76305461,9.055385138,9.70219836,1167.770765
dig,"02'04""","02'05""",tr,0,3776,3818,42,174.4706279,172.6296614,123.306901,390.1850898
pass,"02'07""","02'08""",tr,0,3819,3864,45,134.2385936,127.6322843,85.08818955,637.2571233
spike,"02'08""","02'09""",tl,0,3865,3884,19,518.0086872,149.2146105,235.6020167,806.4260436
block,"02'08""","02'09""",bl,0,3863,3872,9,0,104.5801128,348.6003762,731.0728176
dig,"02'09""","02'10""",tr,0,3885,3928,43,263.4103263,124.3261839,86.73919806,511.6025385
dig,"02'10""","02'11""",bl,0,3930,3978,48,70.66116331,75.16648189,46.97905119,713.4114744
dig,"02'11""","02'12""",br,0,3979,4015,36,237.8066441,304.1644292,253.4703577,506.3581548
spike,"02'13""","02'14""",bl,1,4025,4042,17,314.6823796,21.40093456,37.76635509,585.1729038
serve,"03'46""","03'47""",bl,0,6832,6856,24,134.0335779,48.0416486,60.05206074,1031.079655
dig,"03'48""","03'49""",tr,0,6856,6904,48,68.46897107,104.890419,65.55651189,619.779852
pass,"03'50""","03'51""",tl,0,6905,6947,42,58.30951895,98.89893832,70.64209881,603.8752575
spike,"03'51""","03'52""",tr,1,6951,6970,19,721.6009978,81.83520025,129.2134741,882.1379046
block,"03'51""","03'52""",br,0,6947,6955,8,0,93.04837452,348.9314043,692.7569955
serve,"04'12""","04'13""",tl,0,7610,7628,18,112.8051417,14.4222051,24.03700851,1119.322328
dig,"04'13""","04'14""",br,0,7628,7680,52,179.7804216,155.3319027,89.61455925,730.5525573
dig,"04'14""","04'15""",bl,0,7680,7716,36,329.220291,146.7685252,122.3071044,287.0938333
spike,"04'17""","04'18""",br,1,7730,7750,20,590.0101694,26.92582404,40.38873606,323.1763995
block,"04'17""","04'18""",tr,0,7718,7726,8,0,66.85057965,250.6896737,565.4752047
serve,"04'43""","04'44""",tr,0,8528,8554,26,217.5982537,119.2308685,137.574079,666.3391764
dig,"04'45""","04'46""",bl,0,8558,8598,40,140.0714104,178.8323237,134.1242428,588.06774
pass,"04'46""","04'47""",br,0,8601,8643,42,279.2346683,210.2617416,150.1869583,1069.45337
spike,"04'48""","04'49""",bl,1,8650,8668,18,295.8426,261.0306495,435.0510825,871.6969545
block,"04'48""","04'49""",tl,0,8647,8654,7,0,65,278.5714286,811.2755787
serve,"05'08""","05'09""",bl,0,9299,9317,18,11.18033989,27.20294102,45.33823503,574.1199036
dig,"05'10""","05'11""",tr,0,9318,9367,49,190.6856051,145.4991409,89.08110666,647.3192838
pass,"05'12""","05'13""",tl,0,9367,9415,48,95.46203434,134.8258136,84.26613348,576.3859554
spike,"05'13""","05'14""",tr,1,9418,9440,22,404.1905,209.0598001,285.0815455,892.1493567
block,"05'13""","05'14""",bl,0,9412,9420,8,0,72.18032973,270.6762365,731.222622
serve,"05'33""","05'34""",tr,0,10052,10082,30,252.0079364,125.3235812,125.3235812,524.501319
dig,"05'35""","05'36""",bl,0,10082,10127,45,174.668257,156.2466,104.1644,753.0539364
pass,"05'36""","05'37""",bl,0,10130,10175,45,223.7789087,139.057542,92.70502803,576.657798
spike,"05'38""","05'39""",br,0,10181,10210,29,552.9647367,27.65863337,28.61237934,322.2689607
block,"05'38""","05'39""",tr,1,10174,10181,7,0,73.8241153,316.3890657,0
serve,"06'26""","06'27""",br,0,11603,11633,30,166.1475248,94.89467846,94.89467847,338.6956158
dig,"06'27""","06'28""",tr,0,11633,11678,45,247.1315439,233.0772404,155.3848269,581.25432
pass,"06'29""","06'30""",tl,0,11680,11720,40,54.70831747,110.1135777,82.58518329,558.823599
spike,"06'31""","06'32""",tr,1,11728,11738,10,155.7080602,16.4924225,49.4772675,1336.252556
block,"06'31""","06'32""",br,0,11721,11727,6,0,60.63827174,303.1913586,604.2641571
serve,"07'11""","07'12""",tr,0,12972,13004,32,124.1974235,80.22468448,75.2106417,476.6435076
dig,"07'13""","07'14""",br,0,13004,13053,49,203.6565737,231.4000864,141.6735223,575.2352544
pass,"07'14""",07'15,br,0,13061,13093,32,172.8033564,145.1688672,136.095813,389.2726518
