name,start,end,position,score,start_frame,end_frame,num_frames,target_distance,pdistance,pspeed,bspeed
serve,"00'07""","00'08""",bl,0,154,175,21,65.51335742,85.51023331,81.43831743,180.1509112
dig,"00'08""","00'09""",tr,0,175,207,32,84.97058314,61.05735009,38.16084381,191.9164153
pass,"00'09""","00'10""",tl,0,208,237,29,120.4159458,73.75635566,50.86645218,315.4735219
spike,"00'10""","00'11""",tr,1,244,254,10,506.5689,240.0083332,480.0166664,747.7337801
block,"00'10""","00'11""",br,0,239,244,5,0,93.74433316,374.9773326,360.9242325
serve,"00'31""","00'33""",tr,0,648,664,16,46.81879964,46.69047012,58.36308765,442.6582017
dig,"00'33""","00'34""",bl,0,664,698,34,450.1599716,442.1085839,260.0638729,262.8408377
pass,"00'34""","00'35""",br,0,699,721,22,199.6196383,173.1126801,157.3751637,221.0418645
spike,"00'35""","00'36""",bl,0,728,737,9,129.0736224,32.24903099,71.66451332,596.8670329
block,"00'35""","00'36""",tl,1,723,727,4,0,37.36308338,186.8154169,341.0497317
serve,"00'55""","00'56""",tr,0,1138,1153,15,71.02112362,29.12043956,38.82725274,338.5206674
dig,"00'57""","00'58""",br,0,1152,1186,34,470.3232931,389.6254612,229.1914478,293.1127611
dig,"00'59""","01'00""",bl,0,1185,1215,30,214.7091055,194.5353438,129.6902292,228.1128925
spike,"01'00""","01'01""",br,1,1216,1232,16,611.1824605,82.60750571,103.2593821,93.47130547
block,"01'00""","01'01""",tr,0,1210,1216,6,0,237.3267789,791.0892631,249.4356463
serve,"01'21""","01'22""",br,0,1654,1669,15,22.09072203,8,10.66666667,237.918409
dig,"01'23""","01'24""",tr,0,1670,1700,30,547.2988215,456.9682702,304.6455135,205.6373386
dig,"01'24""","01'25""",tr,0,1702,1706,4,159.9624956,120.4325537,602.1627687,371.9154457
spike,"01'25""","01'26""",tl,1,1731,1745,14,566.3921,293.155249,418.7932128,738.5986979
block,"01'25""","01'26""",br,0,1728,1732,4,0,68.46897107,342.3448554,295.0747693
serve,01'46,"01'47""",bl,0,2161,2181,20,90.90654542,66.84309987,66.84309987,242.8294099
dig,"01'48""","01'49""",tl,0,2181,2204,23,262.6404386,238.0252087,206.9784424,154.9374275
pass,"01'50""","01'51""",tr,0,2208,2238,30,149.3720188,237.6552124,158.4368083,278.8756574
spike,"01'51""","01'52""",bl,0,2239,2252,13,369.9567542,250.0079999,384.6276921,89.4427191
block,"01'51""","01'52""",tl,1,2236,2239,3,0,27.20294102,181.3529401,314.9025604
serve,"02'11""","02'12""",tl,0,2647,2668,21,34.525353,51.2249939,48.78570848,285.8549421
dig,"02'12""","02'13""",bl,0,2668,2701,33,264.0075756,233.8289973,141.7145438,284.5793883
pass,"02'14""","02'15""",br,0,2704,2736,32,172.5340546,263.6512848,164.782053,335.7582286
spike,"02'15""","02'16""",bl,1,2737,2755,18,941.9575362,32.31098884,35.90109871,354.3827022
block,"02'15""","02'16""",tl,0,2732,2736,4,0,36.22154055,181.1077028,340.6028777
serve,"02'34""","02'35""",bl,0,3100,3123,23,64.03124237,96.33275663,83.76761446,206.5678717
dig,"02'36""","02'37""",tr,0,3123,3153,30,130.4300579,115.6027681,77.06851209,187.0518885
